"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2023","5.0741","5.1353","5.1389","5.0635","","-1.20%"
"10/09/2023","5.1355","5.1615","5.1820","5.1210","","-0.20%"
"10/06/2023","5.1457","5.1668","5.2210","5.1424","","-0.39%"
"10/05/2023","5.1658","5.1550","5.1884","5.1494","","0.19%"
"10/04/2023","5.1562","5.1673","5.1789","5.1231","","-0.21%"
"10/03/2023","5.1669","5.0637","5.1739","5.0637","","2.09%"
"10/02/2023","5.0610","5.0308","5.0810","5.0308","","0.58%"
"09/29/2023","5.0320","5.0335","5.0406","4.9876","","-0.02%"
"09/28/2023","5.0331","5.0436","5.0702","5.0140","","-0.19%"
"09/27/2023","5.0425","4.9911","5.0800","4.9864","","1.06%"
"09/26/2023","4.9898","4.9684","4.9942","4.9519","","0.44%"
"09/25/2023","4.9678","4.9320","4.9759","4.9320","","0.66%"
"09/22/2023","4.9351","4.9367","4.9381","4.9033","","0.00%"
"09/21/2023","4.9351","4.8802","4.9396","4.8795","","1.13%"
"09/20/2023","4.8801","4.8670","4.8840","4.8422","","0.26%"
"09/19/2023","4.8673","4.8553","4.8761","4.8390","","0.24%"
"09/18/2023","4.8556","4.8685","4.8784","4.8408","","-0.22%"
"09/15/2023","4.8663","4.8682","4.8802","4.8584","","-0.01%"
"09/14/2023","4.8668","4.9167","4.9214","4.8620","","-0.99%"
"09/13/2023","4.9153","4.9474","4.9683","4.8945","","-0.64%"
"09/12/2023","4.9470","4.9307","4.9690","4.9307","","0.33%"
"09/11/2023","4.9307","4.9845","4.9867","4.9202","","-1.15%"
"09/08/2023","4.9882","4.9787","4.9949","4.9636","","0.23%"
"09/07/2023","4.9767","4.9787","4.9787","4.9773","","-0.03%"
"09/06/2023","4.9784","4.9680","4.9953","4.9536","","0.23%"
"09/05/2023","4.9671","4.9376","4.9866","4.9376","","0.60%"
"09/04/2023","4.9376","4.9485","4.9490","4.9069","","-0.18%"
"09/01/2023","4.9463","4.9555","4.9558","4.8997","","-0.16%"
"08/31/2023","4.9544","4.8876","4.9613","4.8639","","1.34%"
"08/30/2023","4.8890","4.8536","4.8924","4.8424","","0.76%"
"08/29/2023","4.8523","4.8753","4.9027","4.8481","","-0.43%"
"08/28/2023","4.8731","4.8719","4.9121","4.8630","","0.04%"
"08/25/2023","4.8711","4.8816","4.9014","4.8560","","-0.19%"
"08/24/2023","4.8802","4.8576","4.8880","4.8545","","0.47%"
"08/23/2023","4.8572","4.9367","4.9433","4.8457","","-1.65%"
"08/22/2023","4.9386","4.9802","4.9805","4.9251","","-0.82%"
"08/21/2023","4.9793","4.9684","4.9967","4.9563","","0.20%"
"08/18/2023","4.9694","4.9760","5.0024","4.9567","","-0.13%"
"08/17/2023","4.9758","4.9883","4.9970","4.9583","","-0.24%"
"08/16/2023","4.9879","4.9859","4.9931","4.9502","","0.07%"
"08/15/2023","4.9845","4.9636","4.9983","4.9588","","0.46%"
"08/14/2023","4.9615","4.9126","4.9716","4.9102","","1.16%"
"08/11/2023","4.9048","4.8930","4.9104","4.8608","","0.25%"
"08/10/2023","4.8924","4.9029","4.9057","4.8400","","-0.20%"
"08/09/2023","4.9020","4.9009","4.9166","4.8738","","0.05%"
"08/08/2023","4.8996","4.8985","4.9418","4.8895","","-0.01%"
"08/07/2023","4.8999","4.8735","4.9152","4.8681","","0.55%"
"08/04/2023","4.8733","4.9185","4.9201","4.8453","","-0.89%"
"08/03/2023","4.9170","4.8126","4.9224","4.8123","","2.18%"
"08/02/2023","4.8120","4.7935","4.8225","4.7807","","0.44%"
"08/01/2023","4.7911","4.7295","4.8008","4.7280","","1.42%"
"07/31/2023","4.7241","4.7304","4.7607","4.7130","","-0.20%"
"07/28/2023","4.7336","4.7435","4.7500","4.6950","","-0.19%"
"07/27/2023","4.7424","4.7380","4.7596","4.7081","","0.13%"
"07/26/2023","4.7364","4.7508","4.7561","4.7220","","-0.28%"
"07/25/2023","4.7498","4.7274","4.7604","4.7159","","0.48%"
"07/24/2023","4.7271","4.7797","4.7840","4.7229","","-1.10%"
"07/21/2023","4.7795","4.8012","4.8257","4.7597","","-0.39%"
"07/20/2023","4.7980","4.7920","4.8123","4.7681","","0.15%"
"07/19/2023","4.7909","4.8108","4.8224","4.7790","","-0.41%"
"07/18/2023","4.8105","4.8067","4.8281","4.7943","","0.08%"
